,area_type,availability,location,size,society,total_sqft,bath,balcony,price
1866,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,ShshaSa,1020,2.0,1.0,58.0
1872,Built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,Loente ,1510,2.0,1.0,75.0
1874,Super built-up  Area,Ready To Move,Banjara Hills,3 BHK,DubowRa,1614,3.0,1.0,110.0
1878,Built-up  Area,Ready To Move,Nallagandla Gachibowli,4 Bedroom,Prana S,1632,3.0,0.0,145.0
1881,Super built-up  Area,18-Jul,Central Excise Colony Hyderabad,4 BHK,Mamespa,3012,6.0,2.0,250.0
1883,Super built-up  Area,Ready To Move,Madinaguda,3 BHK,NCdgerj,1450,2.0,2.0,135.0
1884,Super built-up  Area,Ready To Move,Somajiguda,2 BHK,Hiate F,1200,2.0,2.0,75.0
1886,Super built-up  Area,Ready To Move,Beeramguda,3 BHK,PuendWe,1508,2.0,1.0,110.0
1888,Super built-up  Area,Ready To Move,Himayat Nagar,2 BHK,AlEcone,1188,2.0,3.0,73.0
1889,Super built-up  Area,18-May,Bowenpally,4 BHK,Jaades ,2690,4.0,3.0,199.0
1890,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Prncyrn,1174,2.0,1.0,76.0
1891,Super built-up  Area,19-Dec,Ashok Nagar,3 BHK,SheldGr,1350,3.0,1.0,58.99
1892,Super built-up  Area,Ready To Move,Ashok Nagar,3 BHK,Bamita ,1870,3.0,3.0,185.0
1893,Super built-up  Area,18-Jun,Nanakramguda,2 BHK,DSestSt,1072,2.0,1.0,25.0
1895,Super built-up  Area,18-Nov,Barkatpura,2 BHK,VBn 2lm,726,2.0,1.0,31.0
1896,Super built-up  Area,Ready To Move,Madhapur,2 BHK,Saageat,1345,2.0,2.0,106.0
1897,Super built-up  Area,Ready To Move,Madinaguda,2 BHK,Dhalsh ,1200,2.0,2.0,45.0
1899,Super built-up  Area,Ready To Move,Isnapur,2 BHK,SyidaCr,1050,2.0,1.0,77.0
1902,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Prlla C,1743,3.0,2.0,85.0
1906,Super built-up  Area,Ready To Move,D D Colony,2 BHK,Sondaka,950,2.0,2.0,32.5
1907,Built-up  Area,Ready To Move,DD Colony,1 BHK,Saiewas,640,1.0,0.0,55.0
1908,Super built-up  Area,18-Jul,Nanakramguda,2 BHK,MJtroty,972,2.0,1.0,44.0
1909,Super built-up  Area,Ready To Move,Miyapur,3 BHK,PadgeOa,1840,3.0,3.0,98.0
1910,Super built-up  Area,Ready To Move,Ramnagar Gundu,2 BHK,Prarkun,1128,2.0,1.0,64.0
1912,Plot  Area,Ready To Move,Patancheru,2 Bedroom,Clood E,2400,2.0,1.0,95.0
1916,Super built-up  Area,Ready To Move,Serilingampally,2 BHK,Mames M,1150,2.0,2.0,63.0
1917,Built-up  Area,19-Mar,Kondapur,4 Bedroom,Gollela,3450,4.0,3.0,294.0
1919,Super built-up  Area,Ready To Move,Nanakramguda,2 BHK,DLhtsen,920,2.0,2.0,46.0
1921,Super built-up  Area,Ready To Move,Pragathi Nagar,3 BHK,Soitya ,1564,3.0,1.0,101.0
1922,Super built-up  Area,Ready To Move,Ashok Nagar,2 BHK,SirlsPe,1045,2.0,1.0,45.0
1925,Super built-up  Area,Ready To Move,Kondapur,3 BHK,SoniaPe,2479.13,3.0,1.0,215.0
1926,Super built-up  Area,Ready To Move,Hitech City,3 BHK,Adeatlm,1846,3.0,2.0,140.0
1930,Built-up  Area,Ready To Move,Kukatpally,4 Bedroom,InllaPa,3042,4.0,0.0,131.0
1931,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Brway G,1640,3.0,3.0,223.0
1932,Built-up  Area,19-Mar,Kukatpally,2 BHK,GKncysi,1068,2.0,1.0,40.05
1933,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,SGiewrk,1135,2.0,2.0,58.0
1938,Super built-up  Area,Ready To Move,Bachupally,2 BHK,AnaveEn,1150,2.0,3.0,42.0
1943,Super built-up  Area,Ready To Move,Chandanagar,3 BHK,Sahtsva,1354,3.0,1.0,90.0
1946,Plot  Area,Ready To Move,Kukatpally,4 Bedroom,SLncyaj,1320,2.0,1.0,110.0
1948,Built-up  Area,Ready To Move,Adibatla,4 Bedroom,ColeyNa,3500,6.0,2.0,225.0
1949,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,Samesan,1000,2.0,1.0,36.0
1950,Super built-up  Area,Ready To Move,Banjara Hills,3 BHK,VBavaai,1130,3.0,1.0,38.0
1952,Super built-up  Area,Ready To Move,Nanakramguda,3 BHK,Vaour S,2204,2.0,3.0,305.0
1956,Super built-up  Area,Ready To Move,Manikonda,3 BHK,MauilTr,1745,3.0,2.0,104.0
1960,Super built-up  Area,Ready To Move,Manikonda,3 BHK,MaaveEn,1550,2.0,3.0,70.0
1962,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,Soe 2as,1329,2.0,2.0,45.95
1963,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,Prareth,916,2.0,1.0,42.0
1964,Super built-up  Area,Ready To Move,Patancheru,1 BHK,NiarkHy,688,1.0,2.0,50.0
1965,Super built-up  Area,Ready To Move,Patancheru,3 BHK,Sholaya,1358,3.0,3.0,50.0
1966,Super built-up  Area,19-Jul,DD Colony,2 BHK,Soazak ,1331,2.0,1.0,107.0
1967,Super built-up  Area,Ready To Move,Kukatpally,1 BHK,Kaamai ,686,1.0,1.0,62.5
1968,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,2 BHK,Sulla S,1050,2.0,2.0,50.0
1969,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,Sodgere,2106,3.0,2.0,126.0
1970,Super built-up  Area,18-Jul,Pragathi Nagar Kukatpally,3 BHK,Rosha I,1718,3.0,2.0,90.2
1971,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,GrrvaGr,1530,3.0,2.0,57.0
1973,Built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,2 BHK,Arade A,1075,2.0,3.0,52.0
1975,Super built-up  Area,18-Dec,Pragathi Nagar Kukatpally,3 BHK,DSdidSp,1936,2.0,2.0,54.21
1976,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,4 BHK,K dotna,2172.65,3.0,3.0,120.0
1981,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,2 BHK,Soikaa ,1117,2.0,3.0,29.99
1982,Built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,Suncy R,1685,2.0,1.0,110.0
1983,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,2 BHK,AnncyRe,740,2.0,1.0,37.0
1986,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,Bregae ,1800,3.0,2.0,115.0
1987,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,PuontBe,1700,3.0,2.0,130.0
1988,Built-up  Area,Ready To Move,Sanath Nagar,2 BHK,Kinumsh,850,2.0,2.0,37.93
1989,Super built-up  Area,Ready To Move,Patancheru,3 BHK,SaireSa,1891,3.0,1.0,139.0
1990,Built-up  Area,Ready To Move,Sri Nagar Colony,2 BHK,Prensin,1400,1.0,1.0,80.0
1993,Built-up  Area,Ready To Move,Tellapur,2 BHK,DSgam S,896,2.0,1.0,43.75
1994,Super built-up  Area,20-Jun,Nanakramguda,2 BHK,Saityat,1180,2.0,2.0,65.0
1996,Built-up  Area,Ready To Move,Beeramguda Road,2 BHK,Siise R,850,2.0,1.0,33.0
1999,Super built-up  Area,19-Dec,Patancheru,3 BHK,GoityEt,1699,3.0,3.0,97.0
2000,Super built-up  Area,17-Oct,Pati,4 BHK,NiCodCa,2025,4.0,3.0,109.0
2002,Built-up  Area,Ready To Move,Kondapur,1 BHK,Jeshan ,500,1.0,0.0,20.0
2004,Super built-up  Area,Ready To Move,Jubilee Hills,3 BHK,Sariaat,2475,4.0,3.0,332.0
2005,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Rencyed,1455,2.0,1.0,145.0
2008,Super built-up  Area,Ready To Move,Madhapur,3 BHK,Soiewre,1521,3.0,1.0,94.99
2010,Super built-up  Area,Ready To Move,Bachupally Road,3 BHK,Prurten,3155,4.0,2.0,370.0
2012,Super built-up  Area,Ready To Move,Patancheru,3 BHK,Reicace,1765,3.0,3.0,105.0
2013,Super built-up  Area,Ready To Move,Karimnagar,3 BHK,Incksaf,1980,3.0,2.0,88.0
2015,Super built-up  Area,Ready To Move,Miyapur,2 BHK,Dural C,1265,2.0,3.0,70.0
2016,Super built-up  Area,Ready To Move,Miyapur,2 BHK,Niara S,1034,2.0,3.0,40.0
2018,Super built-up  Area,Ready To Move,Miyapur,2 BHK,GMown E,1070,2.0,1.0,54.0
2022,Super built-up  Area,Ready To Move,Nagole,3 BHK,AkletBa,2045,4.0,3.0,154.0
2023,Super built-up  Area,Ready To Move,Kollur Road,3 BHK,AkonyHa,1490,2.0,2.0,98.0
2026,Super built-up  Area,Ready To Move,Sun City Padmasri Estates,1 BHK,IBityin,671,1.0,1.0,36.85
2027,Super built-up  Area,Ready To Move,Chaitanyapuri,2 BHK,Elentrk,1156,2.0,2.0,32.0
2028,Super built-up  Area,Ready To Move,Chaitanyapuri,3 BHK,NDionas,2017,3.0,2.0,125.0
2029,Super built-up  Area,Ready To Move,Chaitanyapuri,4 BHK,Prtanha,3122,6.0,2.0,235.0
2030,Super built-up  Area,18-Jul,Chaitanyapuri,3 BHK,ViistLa,1635,3.0,1.0,62.0
2032,Super built-up  Area,19-Jul,Pragathi Nagar Kukatpally,2 BHK,Soazak ,1296,2.0,1.0,89.0
2034,Super built-up  Area,Ready To Move,Chandanagar,2 BHK,PrityTr,1139,2.0,2.0,62.0
2037,Super built-up  Area,19-Dec,Miyapur,2 BHK,Shestlo,1245,2.0,1.0,86.28
2039,Built-up  Area,Ready To Move,Miyapur,4 BHK,PueraRi,3951,4.0,2.0,220.0
2040,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Itelaa ,550,1.0,1.0,15.0
2041,Super built-up  Area,Ready To Move,Kokapet,1 BHK,ItRRVna,360,1.0,1.0,26.0
2043,Built-up  Area,Ready To Move,Nandagiri Hills,3 BHK,Soweray,1670,3.0,2.0,120.0
2046,Built-up  Area,Ready To Move,Nandagiri Hills,3 BHK,LencyRe,1050,2.0,1.0,57.0
2048,Super built-up  Area,Ready To Move,Sri Nagar Colony,3 BHK,Baowsig,1210,2.0,1.0,58.0
2050,Super built-up  Area,Ready To Move,Somajiguda,2 BHK,RInceeg,1140,2.0,2.0,43.0
2051,Super built-up  Area,Ready To Move,Balanagar,3 BHK,Vasta C,1343,2.0,2.0,56.41
2053,Super built-up  Area,17-Aug,Jubilee Hills,2 BHK,Sothin ,925,2.0,2.0,51.0
2054,Super built-up  Area,Ready To Move,Kokapet,3 BHK,SoapeSu,1420,2.0,2.0,75.0
2055,Built-up  Area,Ready To Move,Kismatpur,2 BHK,Dhnts A,1415,2.0,3.0,110.0
2056,Super built-up  Area,Ready To Move,Patancheru,2 BHK,Aaityi ,1210,2.0,2.0,60.0
2057,Super built-up  Area,Ready To Move,Patancheru,3 BHK,RNvasth,1852,3.0,2.0,160.0
2058,Super built-up  Area,Ready To Move,Pati,3 BHK,Deiveer,1250,3.0,2.0,50.0
2059,Super built-up  Area,21-Sep,Patancheru,2 BHK,Vasisvi,1100,2.0,1.0,65.0
2061,Super built-up  Area,20-Dec,Pati,2 BHK,ArndsSk,1100,2.0,1.0,53.35
2062,Plot  Area,Ready To Move,Pati,2 Bedroom,Bhgarve,1350,1.0,0.0,100.0
2063,Super built-up  Area,Ready To Move,Patancheru,3 BHK,SVnamnd,1546,3.0,2.0,99.0
2064,Super built-up  Area,Ready To Move,Pati,2 BHK,SoechHa,1424,2.0,2.0,90.0
2065,Built-up  Area,Ready To Move,Pati,3 BHK,Itnaia ,1398,3.0,1.0,68.0
2066,Super built-up  Area,Ready To Move,Patancheru,3 BHK,MCtleas,1650,3.0,2.0,200.0
2068,Super built-up  Area,Ready To Move,Pati,3 BHK,Mapleer,1476,3.0,2.0,105.0
2070,Super built-up  Area,18-Aug,Pati,3 BHK,Vrenty ,1322,2.0,2.0,58.82
2074,Built-up  Area,Ready To Move,Kondapur,3 BHK,Ahownve,1285,2.0,2.0,68.0
2075,Built-up  Area,Ready To Move,KPHB,2 BHK,SJodsed,1150,2.0,2.0,80.0
2076,Super built-up  Area,Ready To Move,Vivekananda Nagar Colony,3 BHK,MenueNo,1430,2.0,2.0,56.0
2079,Built-up  Area,Ready To Move,Banjara Hills,2 BHK,Kenia G,1185,2.0,2.0,65.0
2080,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,Leate O,1760,3.0,2.0,67.0
2083,Super built-up  Area,19-Jul,Jubilee Hills,2 BHK,Soazak ,1297,2.0,1.0,105.0
2084,Super built-up  Area,Ready To Move,LB Nagar,3 BHK,SodilDa,1840,3.0,2.0,155.0
2087,Carpet  Area,Ready To Move,Adibatla,2 BHK,Jancyva,950,2.0,1.0,52.0
2088,Super built-up  Area,Ready To Move,Miyapur,2 BHK,Prthand,1250 - 1305,2.0,0.0,95.815
2089,Super built-up  Area,18-Jan,Kollur Road,3 BHK,Prarkun,1571,3.0,2.0,89.0
2090,Super built-up  Area,Ready To Move,Kollur Road,2 BHK,Brods W,1031,2.0,1.0,55.0
2091,Super built-up  Area,19-Dec,Kollur Road,2 BHK,Goted U,1485,2.0,1.0,90.0
2092,Super built-up  Area,18-Dec,Kollur Road,2 BHK,Marnara,1109,2.0,1.0,60.0
2094,Super built-up  Area,18-Apr,Kollur,1 BHK,Prtates,950,1.0,1.0,50.0
2096,Super built-up  Area,18-Jul,Kollur Road,2 BHK,Mahesr ,1161,2.0,1.0,55.15
2098,Super built-up  Area,18-Apr,Kondapur,2 BHK,MJtroty,1003,2.0,1.0,40.6
2101,Super built-up  Area,Ready To Move,Dammaiguda,2 BHK,RatosAr,1255,2.0,2.0,73.0
2106,Super built-up  Area,Ready To Move,Hyder Nagar,3 BHK,Prhtsok,1875,3.0,1.0,167.0
2109,Super built-up  Area,Ready To Move,Begumpet,3 BHK,Aklia R,1330,2.0,1.0,47.0
2113,Super built-up  Area,Ready To Move,Ashok Nagar,4 BHK,Prionad,2519,5.0,2.0,185.0
2115,Plot  Area,Ready To Move,Shaikpet,4 Bedroom,Feowsdi,1450,3.0,3.0,132.0
2116,Super built-up  Area,22-Jun,Moti Nagar,3 BHK,GoAirej,1837,3.0,3.0,145.0
2118,Super built-up  Area,Ready To Move,Hitech City,2 BHK,ACiteda,1238,2.0,3.0,55.0
2119,Super built-up  Area,Ready To Move,Sanath Nagar,3 BHK,Vasta C,1405,2.0,2.0,59.01
2122,Super built-up  Area,Ready To Move,Kollur Road,3 BHK,PuandHi,1673,3.0,2.0,115.0
2124,Super built-up  Area,Ready To Move,Kollur Road,2 BHK,DSingSt,1112,2.0,2.0,40.0
2126,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Assha A,545,1.0,1.0,27.0
2127,Super built-up  Area,Ready To Move,Adibatla,2 BHK,Mayne A,985,2.0,1.0,58.0
2128,Super built-up  Area,20-Dec,Kukatpally,1 BHK,GolusLi,670 - 980,1.0,0.0,36.29
2130,Super built-up  Area,19-Mar,Boduppal,2 BHK,Sosisic,1430,2.0,1.0,97.52
2131,Super built-up  Area,Ready To Move,AS Rao Nagar,2 BHK,Malowr ,1050,2.0,2.0,43.0
2134,Built-up  Area,Ready To Move,Sainikpuri,3 BHK,Arnorya,1533,3.0,2.0,115.0
2137,Super built-up  Area,Ready To Move,Shaikpet,3 BHK,RothaVa,1750,3.0,2.0,150.0
2139,Super built-up  Area,Ready To Move,Serilingampally,2 BHK,Prlmsge,1352,2.0,2.0,87.5
2140,Super built-up  Area,Ready To Move,Jubilee Hills,3 BHK,SosicCl,1754,3.0,2.0,125.0
2141,Built-up  Area,Ready To Move,Adibatla,3 BHK,Paion P,1560,3.0,2.0,85.0
2142,Super built-up  Area,18-Jul,Adibatla,4 BHK,Mamespa,3012,6.0,2.0,268.0
2144,Super built-up  Area,Ready To Move,Adibatla,3 BHK,Pritehi,1470,2.0,1.0,90.0
2145,Built-up  Area,Ready To Move,Usman Nagar,2 BHK,NaensGa,1035,2.0,1.0,45.0
2148,Super built-up  Area,Ready To Move,Shadnagar,2 BHK,Elidet ,1100,2.0,2.0,52.0
2150,Super built-up  Area,19-Dec,Shadnagar,1 BHK,Hiatei ,595,1.0,1.0,31.83
2151,Super built-up  Area,Ready To Move,Kondapur,3 BHK,Brstark,1650,3.0,2.0,110.0
2155,Super built-up  Area,18-Jun,Adibatla,2 BHK,ViistLa,1235,2.0,1.0,46.8
2157,Built-up  Area,Ready To Move,Uppal,3 BHK,Eladero,1400,3.0,1.0,115.0
2160,Super built-up  Area,Ready To Move,Uppal,3 BHK,NeendLe,1375,2.0,3.0,85.0
2163,Super built-up  Area,Ready To Move,Jubilee Hills,2 BHK,Ulure S,1065,2.0,1.0,40.84
2166,Super built-up  Area,Ready To Move,Narsingi,1 BHK,UKe 2nz,825,1.0,1.0,45.0
2169,Super built-up  Area,18-Jul,Chikkadapally,3 BHK,Plowsri,1440,2.0,2.0,60.33
2170,Super built-up  Area,Ready To Move,Begumpet,2 BHK,GMown E,870,2.0,1.0,39.5
2171,Super built-up  Area,Ready To Move,Begumpet,2 BHK,Prcesvy,1195,2.0,1.0,84.0
2173,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,Lancy R,1530,3.0,3.0,61.2
2175,Super built-up  Area,Ready To Move,Narsingi,2 BHK,Saeina ,975,2.0,1.0,43.0
2178,Super built-up  Area,18-Dec,Kollur Road,3 BHK,DNionfl,1920,3.0,2.0,130.0
2180,Super built-up  Area,21-Dec,Gachibowli,2 BHK,Bhe 2ko,1183,2.0,1.0,58.56
2182,Super built-up  Area,Ready To Move,Hitech City,3 BHK,Inasy E,1550,2.0,2.0,65.0
2183,Super built-up  Area,Ready To Move,Madhapur,2 BHK,Frides ,1110,2.0,3.0,53.0
2185,Super built-up  Area,Ready To Move,Miyapur,2 BHK,SLireap,1105,2.0,1.0,38.67
2191,Super built-up  Area,19-Oct,Kondapur,4 BHK,SNontle,3067,4.0,2.0,230.0
2192,Super built-up  Area,18-May,Shaikpet,3 BHK,PualeSk,1929,4.0,1.0,103.0
2193,Built-up  Area,Ready To Move,Domalguda,3 BHK,SVyam N,1525,3.0,1.0,100.0
2194,Super built-up  Area,Ready To Move,Domalguda,3 BHK,Ceste C,1775,3.0,3.0,110.0
2195,Built-up  Area,Ready To Move,Lingampalli,2 BHK,Koestpt,1125,2.0,1.0,63.0
2199,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Skacak ,1268,2.0,1.0,73.0
2200,Built-up  Area,Ready To Move,Narsingi,3 BHK,SVstos ,1500,3.0,2.0,88.0
2201,Super built-up  Area,18-Jan,Allwyn Colony,1 BHK,Prarkun,630,1.0,1.0,47.0
2202,Super built-up  Area,Ready To Move,Lingampalli,3 BHK,Paoliy ,1525,3.0,2.0,65.0
2203,Super built-up  Area,Ready To Move,Jubilee Hills,2 BHK,Mebhaee,1060,2.0,2.0,48.0
2204,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Soiewre,1687,3.0,3.0,127.0
2205,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Soitya ,1847,3.0,2.0,123.0
2206,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Dhalsh ,1410,2.0,3.0,53.0
2207,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,SrncyRe,1075,2.0,1.0,42.99
2211,Built-up  Area,Ready To Move,Manikonda,2 BHK,Sioma A,1010,2.0,2.0,46.0
2212,Super built-up  Area,18-Jul,Boduppal,3 BHK,SNnia E,1875,3.0,3.0,110.0
2214,Super built-up  Area,20-Dec,Whisper Valley,2 BHK,GolusLi,983,2.0,1.0,50.6
2216,Super built-up  Area,Ready To Move,Whisper Valley,2 BHK,DubowRa,1140,2.0,1.0,76.0
2217,Super built-up  Area,Ready To Move,Whisper Valley,2 BHK,Adeatlm,1215,2.0,2.0,110.0
2219,Super built-up  Area,Ready To Move,Tukkuguda Airport View Point Road,3 BHK,SoderLa,2039,3.0,2.0,168.0
2226,Super built-up  Area,Ready To Move,Begumpet,3 BHK,Foity S,1350,3.0,1.0,55.5
2228,Carpet  Area,Ready To Move,Begumpet,3 BHK,Jahidva,1005.03 - 1252.49,3.0,0.0,47.405
2229,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,PrwarSa,921,2.0,1.0,34.0
2230,Super built-up  Area,Ready To Move,Uppal Kalan,2 BHK,Rasom B,1010,2.0,1.0,49.27
2231,Super built-up  Area,18-Jun,Manikonda,2 BHK,MCnexva,1015,2.0,1.0,43.0
2233,Built-up  Area,Ready To Move,LB Nagar,2 BHK,RothaVa,1179,2.0,1.0,75.0
2235,Super built-up  Area,Ready To Move,Balanagar,2 BHK,Prarkhi,870,2.0,1.0,24.0
2238,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Sariaat,2475,4.0,3.0,320.0
2241,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Gintsar,1000,1.0,1.0,55.0
2244,Plot  Area,18-May,Kondapur,2 Bedroom,Daden G,1200,2.0,1.0,66.0
2246,Super built-up  Area,Ready To Move,KPHB,2 BHK,Shateor,1255,2.0,1.0,57.5
2247,Super built-up  Area,Ready To Move,KPHB,2 BHK,Collsrn,1085,2.0,2.0,30.38
2250,Super built-up  Area,21-May,Aminpur,3 BHK,Sourtal,1934,3.0,2.0,150.0
2251,Super built-up  Area,Ready To Move,Bachupally,2 BHK,Sancyi ,1200,2.0,1.0,49.5
2252,Super built-up  Area,Ready To Move,Miyapur,6 BHK,PoetyHo,3600,6.0,2.0,120.0
2253,Super built-up  Area,19-Dec,Chandanagar,2 BHK,SheldGr,935,2.0,1.0,45.0
2254,Built-up  Area,Ready To Move,Patancheru,2 BHK,Vaodspe,877,2.0,2.0,30.0
2255,Super built-up  Area,Ready To Move,Shankarpalli,2 BHK,GMentAp,936,2.0,2.0,42.0
2258,Super built-up  Area,19-Mar,Narsingi,2 BHK,Puachal,1232,2.0,0.0,69.61
2259,Super built-up  Area,Ready To Move,Narsingi,3 BHK,SoechHa,2225,4.0,2.0,169.0
2261,Super built-up  Area,Ready To Move,Aminpur,3 BHK,Sooneoo,1901,3.0,2.0,119.0
2262,Super built-up  Area,18-Dec,Miyapur,3 BHK,Klark L,1819,3.0,2.0,100.0
2265,Super built-up  Area,Ready To Move,Hitech City,4 BHK,Brica E,3630 - 3800,6.0,0.0,200.5
2266,Built-up  Area,Ready To Move,Madhapur,4 BHK,ImiteEl,5000,4.0,3.0,290.0
2273,Super built-up  Area,Ready To Move,Bolarum,3 BHK,Ceiti I,1845,4.0,1.0,110.0
2275,Super built-up  Area,Ready To Move,Begumpet,2 BHK,NRosete,1140,2.0,2.0,46.0
2277,Super built-up  Area,18-Aug,Madhapur,3 BHK,Sodgere,2254,3.0,2.0,170.0
2278,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Asareur,1750,3.0,2.0,150.0
2279,Built-up  Area,Ready To Move,Tarnaka,2 BHK,Caiseha,1020,2.0,1.0,37.0
2281,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Soiewre,1893,3.0,2.0,140.0
2282,Super built-up  Area,Ready To Move,Banjara Hills,3 BHK,Pricae ,3025,3.0,0.0,500.0
2285,Super built-up  Area,Ready To Move,Himayat Nagar,3 BHK,Prityel,1075,2.0,1.0,90.0
2287,Super built-up  Area,Ready To Move,Madhapur,2 BHK,HMonymp,1200,2.0,1.0,78.0
2288,Super built-up  Area,19-Oct,Kukatpally,2 BHK,Brareio,1233,2.0,2.0,77.65
2289,Super built-up  Area,Ready To Move,Nanakramguda,2 BHK,SNity S,1255,2.0,2.0,65.26
2296,Super built-up  Area,Ready To Move,Kollur,3 BHK,Shthi S,1525,2.0,2.0,60.0
2298,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,Sahtsva,1240,2.0,1.0,84.0
2299,Super built-up  Area,Ready To Move,Hitech City,3 BHK,Mayne A,1245,2.0,1.0,68.0
2301,Super built-up  Area,18-Mar,Nanakramguda,2 BHK,Akvam P,1004 - 1204,2.0,0.0,36.43
2302,Super built-up  Area,Ready To Move,Nanakramguda,3 BHK,Prityel,1075,2.0,1.0,35.99
2304,Super built-up  Area,Ready To Move,Safilguda,2 BHK,SrireSo,1155,2.0,1.0,60.0
2305,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Mavelr ,1520,2.0,3.0,62.0
2306,Super built-up  Area,Ready To Move,Bachupally,4 BHK,Prtanha,3122,6.0,2.0,245.0
2307,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,Prncyrn,1290,2.0,1.0,85.0
2313,Super built-up  Area,Ready To Move,Banjara Hills,2 BHK,SrntsRV,900,2.0,1.0,95.0
2315,Super built-up  Area,Ready To Move,Trimalgherry,2 BHK,Koagati,987,2.0,1.0,49.0
2316,Super built-up  Area,Ready To Move,Manikonda,3 BHK,Brglede,1720,3.0,2.0,100.0
2317,Super built-up  Area,Ready To Move,Trimalgherry,2 BHK,Ratlet ,1040,2.0,1.0,50.0
2319,Built-up  Area,Ready To Move,Old Bowenpally,2 BHK,Neess P,1030,2.0,1.0,50.0
2320,Super built-up  Area,Ready To Move,West Marredpally,3 BHK,GeereEc,2556,3.0,2.0,133.0
2321,Super built-up  Area,Ready To Move,Neredmet,3 BHK,KuisePa,1850,3.0,1.0,168.0
2324,Super built-up  Area,Ready To Move,Kothaguda,2 BHK,BriumMi,1270,2.0,1.0,83.0
2327,Super built-up  Area,Ready To Move,Gopanpally,2 BHK,IBictnd,1050,2.0,2.0,85.0
2329,Super built-up  Area,18-Apr,Alkapur township,2 BHK,Aaniaa ,946,2.0,1.0,38.0
2330,Built-up  Area,Ready To Move,Kothaguda,3 BHK,VeSkyva,1726,3.0,3.0,145.0
2331,Super built-up  Area,Ready To Move,Begumpet,3 BHK,Sowerew,2121,4.0,3.0,253.0
2332,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Prlla C,1404,2.0,1.0,75.0
2334,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Vaens G,1025,2.0,2.0,57.0
2341,Built-up  Area,Ready To Move,Malkajgiri,4 Bedroom,Diaste ,4800,5.0,3.0,629.0
2342,Super built-up  Area,Ready To Move,Kowkur,2 BHK,Dhows M,1040,2.0,2.0,46.0
2343,Super built-up  Area,18-May,East Marredpally,2 BHK,Bregae ,1310,2.0,2.0,80.0
2344,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,Baveles,1788,3.0,2.0,98.34
2345,Super built-up  Area,Ready To Move,West Marredpally,2 BHK,GrrvaGr,1144,2.0,2.0,38.55
2351,Super built-up  Area,19-Mar,Patancheru Shankarpalli Road,3 BHK,Oca 2 V,1646,3.0,2.0,79.5
2352,Super built-up  Area,Ready To Move,Patancheru Shankarpalli Road,4 BHK,Klark L,4395,4.0,2.0,242.0
2354,Super built-up  Area,18-Dec,Banjara Hills,3 BHK,DNionfl,1995,3.0,2.0,135.0
2356,Super built-up  Area,18-Dec,Uppalguda,2 BHK,Maunt M,1085,2.0,1.0,47.74
2357,Super built-up  Area,Ready To Move,Begumpet,2 BHK,PrityTr,1139,2.0,2.0,56.8
2359,Super built-up  Area,Ready To Move,Begumpet,3 BHK,MaidoPl,1767,3.0,2.0,98.0
2361,Super built-up  Area,Ready To Move,Nanakramguda,3 BHK,Maonsrn,1692,3.0,2.0,88.0
2363,Super built-up  Area,Ready To Move,Nallagandla Gachibowli,3 BHK,Aklia R,1345,2.0,1.0,57.0
